ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
c9f1b0952e5b4bc6ed53fba535d18739,1,34,male,Other,1,1,0,10,8,"100,000 - 1 million",3,2,1,Less than Bachelor's
c9dbe3fa87c0bfcfa2acc0b90930962d,0,,female,Other,1,0,0,20,12,"100,000 - 1 million",4,0,1,Bachelor's and Higher
c96e7fce0223b2118bd51fbe8098ae54,1,34,female,Flatiron School,1,0,1,3,18,>1 million,2,1,3,Bachelor's and Higher
c8da48e03612520e7360e1ef28df3f03,1,28,female,General Assembly,1,0,1,5,8,>1 million,3,0,2,Bachelor's and Higher
c879bb7edbc5181c6c82e68a73f1cdc5,0,48,male,Other,1,0,1,15,7,"100,000 - 1 million",0,1,4,Bachelor's and Higher
c86818eb19f5b0814354b9b06d49cf26,0,38,male,Other,0,1,1,80,1,>1 million,1,1,2,Less than Bachelor's
c80a5144694656d4026d59eadd735831,1,31,male,Other,1,0,1,5,25,"<100,000",1,0,7,Bachelor's and Higher
c6b66c69ded35467b6a0f151581b87a8,0,,,Other,1,1,1,20,12,,4,1,5,
c6a3840406ddf891a5db186b9c4abf14,0,28,female,Flatiron School,0,0,1,30,6,>1 million,4,1,3,Bachelor's and Higher
c663305605a503beb0f4cf28a084c287,1,32,male,Other,1,0,1,8,24,"100,000 - 1 million",1,1,2,Less than Bachelor's
c5e0f7b1259f29b2ab784365b0a06f5d,0,,,Other,1,0,0,30,10,,3,0,4,
